date,fips,cases
2021-11-30,5021,2809
2021-11-30,5023,3973
2021-11-30,5025,1441
2021-11-30,5027,3413
2021-11-30,5029,3261
2021-11-30,5031,22206
2021-11-30,5033,11051
2021-11-30,5035,8997
2021-11-30,5037,3040
2021-11-30,5039,1145
2021-11-30,5041,1947
2021-11-30,5043,2951
2021-11-30,5045,20304
2021-11-30,5047,2810
2021-11-30,5049,1884
2021-11-30,5051,16180
2021-11-30,5053,2912
2021-11-30,5055,10407
2021-11-30,5057,3020
2021-11-30,5059,7774
2021-11-30,5061,2542
2021-11-30,5063,6883
2021-11-30,5065,2706
2021-11-30,5067,4554
2021-11-30,5069,12469
2021-11-30,5071,4687
2021-11-30,5073,863
2021-11-30,5075,3478
2021-11-30,5077,2193
2021-11-30,5079,3697
2021-11-30,5081,2124
2021-11-30,5083,3731
2021-11-30,5085,12371
2021-11-30,5087,2631
2021-11-30,5089,2286
2021-11-30,5091,6663
2021-11-30,5093,8658
2021-11-30,5095,1204
2021-11-30,5097,1159
2021-11-30,5099,1412
2021-11-30,5101,1219
2021-11-30,5103,3463
2021-11-30,5105,1583
2021-11-30,5107,3242
2021-11-30,5109,1756
2021-11-30,5111,5102
2021-11-30,5113,3009
2021-11-30,5115,12290
2021-11-30,5117,1288
2021-11-30,5119,60246
2021-11-30,5121,3455
2021-11-30,5125,18939
2021-11-30,5127,1759
2021-11-30,5129,1314
2021-11-30,5131,23192
2021-11-30,5133,4084
2021-11-30,5135,3149
2021-11-30,5123,4884
2021-11-30,5137,1924
2021-11-30,5139,5968
2021-11-30,5141,2294
2021-11-30,5143,45716
2021-11-30,5145,13895
2021-11-30,5147,1141
2021-11-30,5149,4775
2021-11-30,6001,125197
2021-11-30,6003,108
2021-11-30,6005,5772
2021-11-30,6007,25455
2021-11-30,6009,4415
2021-11-30,6011,3252
2021-11-30,6013,103772
2021-11-30,6015,3858
2021-11-30,6017,18301
2021-11-30,6019,156795
2021-11-30,6021,4574
2021-11-30,6023,10158
2021-11-30,6025,38477
2021-11-30,6027,2566
2021-11-30,6029,157662
2021-11-30,6031,35206
2021-11-30,6033,7043
2021-11-30,6035,7962
2021-11-30,6037,1526976
2021-11-30,6039,26194
2021-11-30,6041,18465
2021-11-30,6043,1598
2021-11-30,6045,8571
2021-11-30,6047,45466
2021-11-30,6049,1050
2021-11-30,6051,1878
2021-11-30,6053,52488
2021-11-30,6055,13421
2021-11-30,6057,10019
2021-11-30,6059,334398
2021-11-30,6061,42141
2021-11-30,6063,1936
2021-11-30,6065,387678
2021-11-30,6067,168353
2021-11-30,6069,7815
2021-11-30,6071,374543
2021-11-30,6073,406990
2021-11-30,6075,56912
2021-11-30,6077,107559
2021-11-30,6079,31476
2021-11-30,6081,56320
2021-11-30,6083,47293
2021-11-30,6085,152089
2021-11-30,6087,22248
2021-11-30,6089,26081
2021-11-30,6091,218
2021-11-30,6093,4907
2021-11-30,6095,47676
2021-11-30,6097,43168
2021-11-30,6099,91548
2021-11-30,6101,14571
2021-11-30,6103,10275
2021-11-30,6105,998
2021-11-30,6107,86087
2021-11-30,6109,7866
2021-11-30,6111,104003
2021-11-30,6113,21558
2021-11-30,6115,11190
2021-11-30,8001,86038
2021-11-30,8003,2902
2021-11-30,8005,90685
2021-11-30,8007,1857
2021-11-30,8009,560
2021-11-30,8011,1877
2021-11-30,8013,34915
2021-11-30,8014,7570
2021-11-30,8015,2687
2021-11-30,8017,236
2021-11-30,8019,891
2021-11-30,8021,1131
2021-11-30,8023,425
2021-11-30,8025,2470
2021-11-30,8027,462
2021-11-30,8029,4563
2021-11-30,8031,101619
2021-11-30,8033,256
2021-11-30,8035,46332
2021-11-30,8037,9238
2021-11-30,8039,3001
2021-11-30,8041,114089
2021-11-30,8043,9956
2021-11-30,8045,8703
2021-11-30,8047,531
2021-11-30,8049,2295
2021-11-30,8051,1982
2021-11-30,8053,64
2021-11-30,8055,826
2021-11-30,8057,122
2021-11-30,8059,72659
2021-11-30,8061,263
2021-11-30,8063,1120
2021-11-30,8065,1130
2021-11-30,8067,6918
2021-11-30,8069,44901
2021-11-30,8071,2186
2021-11-30,8073,1375
2021-11-30,8075,5070
2021-11-30,8077,27788
2021-11-30,8079,148
2021-11-30,8081,2158
2021-11-30,8083,3895
2021-11-30,8085,6623
2021-11-30,8087,3970
2021-11-30,8089,3177
2021-11-30,8091,512
2021-11-30,8093,1691
2021-11-30,8095,579
2021-11-30,8097,3310
2021-11-30,8099,1912
2021-11-30,8101,29383
2021-11-30,8103,1199
2021-11-30,8105,1813
2021-11-30,8107,3823
2021-11-30,8109,793
2021-11-30,8111,106
2021-11-30,8113,1268
2021-11-30,8115,352
2021-11-30,8117,5337
2021-11-30,8119,3290
2021-11-30,8121,745
2021-11-30,8123,52711
2021-11-30,8125,1367
2021-11-30,9001,116232
2021-11-30,9003,103069
2021-11-30,9005,18524
2021-11-30,9007,15746
2021-11-30,9009,110214
2021-11-30,9011,29782
2021-11-30,9013,12030
2021-11-30,9015,14667
2021-11-30,10001,28171
2021-11-30,10003,87086
2021-11-30,10005,37513
2021-11-30,11001,66912
2021-11-30,12001,40067
2021-11-30,12003,6007
2021-11-30,12005,31948
2021-11-30,12007,5349
2021-11-30,12009,81580
2021-11-30,12011,360509
2021-11-30,12013,3012
2021-11-30,12015,23556
2021-11-30,12017,20669
2021-11-30,12019,34033
2021-11-30,12021,57365
2021-11-30,12023,14979
2021-11-30,12027,6954
2021-11-30,12029,2966
2021-11-30,12031,165515
2021-11-30,12033,54028
2021-11-30,12035,14558
2021-11-30,12037,2228
2021-11-30,12039,8701
2021-11-30,12041,3179
2021-11-30,12043,1458
2021-11-30,12045,2979
2021-11-30,12047,2756
2021-11-30,12049,6099
2021-11-30,12051,8023
2021-11-30,12053,28723
2021-11-30,12055,16073
2021-11-30,12057,245205
2021-11-30,12059,3857
2021-11-30,12061,22274
2021-11-30,12063,10158
2021-11-30,12065,2497
2021-11-30,12067,2224
2021-11-30,12069,55332
2021-11-30,12071,126166
2021-11-30,12073,51071
2021-11-30,12075,7071
2021-11-30,12077,1834
2021-11-30,12079,3644
2021-11-30,12081,65448
2021-11-30,12083,57299
2021-11-30,12085,20361
2021-11-30,12086,679200
2021-11-30,12087,10796
2021-11-30,12089,15202
2021-11-30,12091,34767
2021-11-30,12093,7413
2021-11-30,12095,230196
2021-11-30,12097,72567
2021-11-30,12099,227656
2021-11-30,12101,79942
2021-11-30,12103,135724
2021-11-30,12105,129823
2021-11-30,12107,12853
2021-11-30,12113,32645
2021-11-30,12115,55941
2021-11-30,12117,63170
2021-11-30,12109,41253
2021-11-30,12111,48091
2021-11-30,12119,14760
2021-11-30,12121,9267
2021-11-30,12123,4605
2021-11-30,12125,3079
2021-11-30,12127,77066
2021-11-30,12129,6459
2021-11-30,12131,12064
2021-11-30,12133,4565
2021-11-30,13001,3544
2021-11-30,13003,1599
2021-11-30,13005,2648
2021-11-30,13007,373
2021-11-30,13009,6785
2021-11-30,13011,2836
2021-11-30,13013,15052
2021-11-30,13015,21014
2021-11-30,13017,3267
2021-11-30,13019,3513
2021-11-30,13021,26116
2021-11-30,13023,2357
2021-11-30,13025,3143
2021-11-30,13027,2441
2021-11-30,13029,6360
2021-11-30,13031,11265
2021-11-30,13033,3775
2021-11-30,13035,4776
2021-11-30,13037,851
2021-11-30,13039,8078
2021-11-30,13043,1575
2021-11-30,13045,16692
2021-11-30,13047,9892
2021-11-30,13049,2317
2021-11-30,13051,39200
2021-11-30,13053,6126
2021-11-30,13055,4679
2021-11-30,13057,44797
2021-11-30,13059,20376
2021-11-30,13061,315
2021-11-30,13063,40152
2021-11-30,13065,1499
2021-11-30,13067,112385
2021-11-30,13069,8062
2021-11-30,13071,7833
2021-11-30,13073,25293
2021-11-30,13075,3635
2021-11-30,13077,21278
2021-11-30,13079,1152
2021-11-30,13081,3189
2021-11-30,13083,2231
2021-11-30,13085,4799
2021-11-30,13087,4830
2021-11-30,13089,94312
2021-11-30,13091,3655
2021-11-30,13093,1668
2021-11-30,13095,12601
2021-11-30,13097,22710
2021-11-30,13099,1901
2021-11-30,13101,736
2021-11-30,13103,8985
2021-11-30,13105,3396
2021-11-30,13107,4478
2021-11-30,13109,1652
2021-11-30,13111,3881
2021-11-30,13113,13507
2021-11-30,13115,18809
2021-11-30,13117,35373
2021-11-30,13119,4029
2021-11-30,13121,135029
2021-11-30,13123,4849
2021-11-30,13125,417
2021-11-30,13127,15462
2021-11-30,13129,11568
2021-11-30,13131,3699
2021-11-30,13133,2763
2021-11-30,13135,136400
2021-11-30,13137,7709
2021-11-30,13139,39298
2021-11-30,13141,1137
2021-11-30,13143,3864
2021-11-30,13145,3852
2021-11-30,13147,3607
2021-11-30,13149,1496
2021-11-30,13151,38942
2021-11-30,13153,25538
2021-11-30,13155,1462
2021-11-30,13157,15034
2021-11-30,13159,2174
2021-11-30,13161,2974
2021-11-30,13163,2722
2021-11-30,13165,1197
2021-11-30,13167,1569
2021-11-30,13169,3553
2021-11-30,13171,3485
2021-11-30,13173,1488
2021-11-30,13175,9246
2021-11-30,13177,4813
2021-11-30,13179,7646
2021-11-30,13181,1214
2021-11-30,13183,1785
2021-11-30,13185,21537
2021-11-30,13187,4958
2021-11-30,13193,1351
2021-11-30,13195,5052
2021-11-30,13197,986
2021-11-30,13189,3582
2021-11-30,13191,1717
2021-11-30,13199,3032
2021-11-30,13201,1247
2021-11-30,13205,3429
2021-11-30,13207,4286
2021-11-30,13209,1545
2021-11-30,13211,3439
2021-11-30,13213,7733
2021-11-30,13215,24654
2021-11-30,13217,16645
2021-11-30,13219,5877
2021-11-30,13221,2257
2021-11-30,13223,25783
2021-11-30,13225,4194
2021-11-30,13227,5737
2021-11-30,13229,4331
2021-11-30,13231,3886
2021-11-30,13233,8658
2021-11-30,13235,1538
2021-11-30,13237,3284
2021-11-30,13239,258
2021-11-30,13241,2664
2021-11-30,13243,1018
2021-11-30,13245,35646
2021-11-30,13247,11707
2021-11-30,13249,710
2021-11-30,13251,1826
2021-11-30,13253,1557
2021-11-30,13255,10592
2021-11-30,13257,4889
2021-11-30,13259,1580
2021-11-30,13261,4317
2021-11-30,13263,745
2021-11-30,13265,167
2021-11-30,13267,3855
2021-11-30,13269,1298
2021-11-30,13271,2292
2021-11-30,13273,1244
2021-11-30,13275,7900
2021-11-30,13277,8402
2021-11-30,13279,5493
2021-11-30,13281,1804
2021-11-30,13283,1252
2021-11-30,13285,10970
2021-11-30,13287,1739
2021-11-30,13289,1107
2021-11-30,13291,3603
2021-11-30,13293,5483
2021-11-30,13295,11722
2021-11-30,13297,15478
2021-11-30,13299,7611
2021-11-30,13301,778
2021-11-30,13303,3245
2021-11-30,13305,5850
2021-11-30,13307,273
2021-11-30,13309,982
2021-11-30,13311,4941
2021-11-30,13313,23094
2021-11-30,13315,1295
2021-11-30,13317,1581
2021-11-30,13319,1523
2021-11-30,13321,3127
2021-11-30,15001,11705
2021-11-30,15003,59570
2021-11-30,15005,1
2021-11-30,15007,3113
2021-11-30,15009,10371
2021-11-30,16001,85261
2021-11-30,16003,547
2021-11-30,16005,14212
2021-11-30,16007,729
2021-11-30,16009,1468
2021-11-30,16011,7200
2021-11-30,16013,3175
2021-11-30,16015,818
2021-11-30,16017,6431
2021-11-30,16019,21504
2021-11-30,16021,1700
2021-11-30,16023,385
2021-11-30,16025,108
2021-11-30,16027,43343
2021-11-30,16029,1051
2021-11-30,16031,3969
2021-11-30,16033,89
2021-11-30,16035,1678
2021-11-30,16037,402
2021-11-30,16039,4362
2021-11-30,16041,1743
2021-11-30,16043,1619
2021-11-30,16045,2887
2021-11-30,16047,2350
2021-11-30,16049,2319
2021-11-30,16051,4416
2021-11-30,16053,4375
2021-11-30,16055,30767
2021-11-30,16057,4720
2021-11-30,16059,948
2021-11-30,16061,830
2021-11-30,16063,738
2021-11-30,16065,9068
2021-11-30,16067,3244
2021-11-30,16069,6377
2021-11-30,16071,589
2021-11-30,16073,1699
2021-11-30,16075,4240
2021-11-30,16077,1112
2021-11-30,16079,2110
2021-11-30,16081,1718
2021-11-30,16083,16491
2021-11-30,16085,1569
2021-11-30,16087,1912
2021-11-30,17001,14399
2021-11-30,17003,802
2021-11-30,17005,2730
2021-11-30,17007,8719
2021-11-30,17009,1113
2021-11-30,17011,4881
2021-11-30,17013,790
2021-11-30,17015,2639
2021-11-30,17017,2764
2021-11-30,17019,29881
2021-11-30,17021,5809
2021-11-30,17023,2965
2021-11-30,17025,2888
2021-11-30,17027,7451
2021-11-30,17029,8633
2021-11-30,17031,677347
2021-11-30,17033,3535
2021-11-30,17035,2074
2021-11-30,17037,13728
2021-11-30,17039,2398
2021-11-30,17041,3525
2021-11-30,17043,117788
2021-11-30,17045,2896
2021-11-30,17047,1138
2021-11-30,17049,7180
2021-11-30,17051,4652
2021-11-30,17053,2658
2021-11-30,17055,7681
2021-11-30,17057,5612
2021-11-30,17059,824
2021-11-30,17061,2172
2021-11-30,17063,8190
2021-11-30,17065,1413
2021-11-30,17067,3038
2021-11-30,17069,669
2021-11-30,17071,811
2021-11-30,17073,7304
2021-11-30,17075,4636
2021-11-30,17077,8390
2021-11-30,17079,1729
2021-11-30,17081,6957
2021-11-30,17083,3716
2021-11-30,17085,2581
2021-11-30,17087,2457
2021-11-30,17089,73556
2021-11-30,17091,19495
2021-11-30,17093,18282
2021-11-30,17095,7895
2021-11-30,17097,86885
2021-11-30,17099,16093
2021-11-30,17101,3492
2021-11-30,17103,5101
2021-11-30,17105,6325
2021-11-30,17107,5255
2021-11-30,17115,16601
2021-11-30,17117,7564
2021-11-30,17119,42614
2021-11-30,17121,7489
2021-11-30,17123,1540
2021-11-30,17125,2276
2021-11-30,17127,2317
2021-11-30,17109,4060
2021-11-30,17111,39086
2021-11-30,17113,25233
2021-11-30,17129,1912
2021-11-30,17131,2302
2021-11-30,17133,5579
2021-11-30,17135,5349
2021-11-30,17137,5520
2021-11-30,17139,2617
2021-11-30,17141,8531
2021-11-30,17143,28981
2021-11-30,17145,4536
2021-11-30,17147,2321
2021-11-30,17149,2874
2021-11-30,17151,588
2021-11-30,17153,1088
2021-11-30,17155,638
2021-11-30,17157,5736
2021-11-30,17159,3131
2021-11-30,17161,20690
2021-11-30,17165,4533
2021-11-30,17167,27406
2021-11-30,17169,1169
2021-11-30,17171,752
2021-11-30,17173,3856
2021-11-30,17175,890
2021-11-30,17163,42537
2021-11-30,17177,7135
2021-11-30,17179,22332
2021-11-30,17181,3274
2021-11-30,17183,16226
2021-11-30,17185,2241
2021-11-30,17187,2607
2021-11-30,17189,2240
2021-11-30,17191,3257
2021-11-30,17193,2889
2021-11-30,17195,9175
2021-11-30,17197,99357
2021-11-30,17199,12729
2021-11-30,17201,47028
2021-11-30,17203,6373
2021-11-30,18001,5410
2021-11-30,18003,65862
2021-11-30,18005,12753
2021-11-30,18007,1639
2021-11-30,18009,2200
2021-11-30,18011,9728
2021-11-30,18013,1741
2021-11-30,18015,2905
2021-11-30,18017,8063
2021-11-30,18019,20007
2021-11-30,18021,4598
2021-11-30,18023,6204
2021-11-30,18025,1683
2021-11-30,18027,5022
2021-11-30,18029,8879
2021-11-30,18031,4611
2021-11-30,18033,7642
2021-11-30,18035,16498
2021-11-30,18037,8753
2021-11-30,18039,39730
2021-11-30,18041,4524
2021-11-30,18043,11915
2021-11-30,18045,3693
2021-11-30,18047,2895
2021-11-30,18049,3569
2021-11-30,18051,7024
2021-11-30,18053,12162
2021-11-30,18055,4648
2021-11-30,18057,50379
2021-11-30,18059,12928
2021-11-30,18061,6887
2021-11-30,18063,26014
2021-11-30,18065,9058
2021-11-30,18067,16450
2021-11-30,18069,7481
2021-11-30,18071,7532
2021-11-30,18073,6056
2021-11-30,18075,3233
2021-11-30,18077,5713
2021-11-30,18079,4422
2021-11-30,18081,27366
2021-11-30,18083,6859
2021-11-30,18085,13996
2021-11-30,18087,4218
2021-11-30,18089,71598
2021-11-30,18091,16937
2021-11-30,18093,7942
2021-11-30,18095,20783
2021-11-30,18097,144385
2021-11-30,18099,8940
2021-11-30,18101,1519
2021-11-30,18103,6505
2021-11-30,18105,16419
2021-11-30,18107,6934
2021-11-30,18109,10296
2021-11-30,18111,1799
2021-11-30,18113,9099
2021-11-30,18115,918
2021-11-30,18117,3261
2021-11-30,18119,3479
2021-11-30,18121,2485
2021-11-30,18123,2863
2021-11-30,18125,2451
2021-11-30,18127,25196
2021-11-30,18129,4040
2021-11-30,18131,2067
2021-11-30,18133,6368
2021-11-30,18135,3875
2021-11-30,18137,5505
2021-11-30,18139,3067
2021-11-30,18143,4834
2021-11-30,18145,9156
2021-11-30,18147,3576
2021-11-30,18149,3494
2021-11-30,18151,6565
2021-11-30,18141,49004
2021-11-30,18153,3464
2021-11-30,18155,1457
2021-11-30,18157,30347
2021-11-30,18159,2488
2021-11-30,18161,1212
2021-11-30,18163,34336
2021-11-30,18165,2812
2021-11-30,18167,18851
2021-11-30,18169,6084
2021-11-30,18171,1326
2021-11-30,18173,12055
2021-11-30,18175,3855
2021-11-30,18177,12295
2021-11-30,18179,4758
2021-11-30,18181,4705
2021-11-30,18183,6449
2021-11-30,19001,1149
2021-11-30,19003,575
2021-11-30,19005,2046
2021-11-30,19007,2059
2021-11-30,19009,751
2021-11-30,19011,4067
2021-11-30,19013,22020
2021-11-30,19015,3913
2021-11-30,19017,3958
2021-11-30,19019,3067
2021-11-30,19021,5025
2021-11-30,19023,2334
2021-11-30,19025,1976
2021-11-30,19027,3690
2021-11-30,19029,2335
2021-11-30,19031,2659
2021-11-30,19033,7988
2021-11-30,19035,2125
2021-11-30,19037,1798
2021-11-30,19039,1612
2021-11-30,19041,2957
2021-11-30,19043,2459
2021-11-30,19045,7752
2021-11-30,19047,3539
2021-11-30,19049,15367
2021-11-30,19051,1248
2021-11-30,19053,1023
2021-11-30,19055,2960
2021-11-30,19057,7114
2021-11-30,19059,3150
2021-11-30,19061,18584
2021-11-30,19063,1786
2021-11-30,19065,2866
2021-11-30,19067,2571
2021-11-30,19069,1839
2021-11-30,19071,961
2021-11-30,19073,1278
2021-11-30,19075,1838
2021-11-30,19077,1684
2021-11-30,19079,2601
2021-11-30,19081,2160
2021-11-30,19083,2853
2021-11-30,19085,2347
2021-11-30,19087,4189
2021-11-30,19089,1479
2021-11-30,19091,1854
2021-11-30,19093,1311
2021-11-30,19095,2302
2021-11-30,19097,3107
2021-11-30,19099,6219
2021-11-30,19101,2237
2021-11-30,19103,19840
2021-11-30,19105,4063
2021-11-30,19107,1510
2021-11-30,19109,2895
2021-11-30,19111,5914
2021-11-30,19113,32263
2021-11-30,19115,1774
2021-11-30,19117,1247
2021-11-30,19119,2065
2021-11-30,19121,2352
2021-11-30,19123,3662
2021-11-30,19125,5599
2021-11-30,19127,6704
2021-11-30,19129,2214
2021-11-30,19131,1824
2021-11-30,19133,1235
2021-11-30,19135,1429
2021-11-30,19137,1620
2021-11-30,19139,6653
2021-11-30,19141,2414
2021-11-30,19143,1049
2021-11-30,19145,2733
2021-11-30,19147,1507
2021-11-30,19149,4894
2021-11-30,19151,1209
2021-11-30,19153,80541
2021-11-30,19155,15909
2021-11-30,19157,2375
2021-11-30,19159,772
2021-11-30,19161,1717
2021-11-30,19163,26705
2021-11-30,19165,1966
2021-11-30,19167,6115
2021-11-30,19169,13853
2021-11-30,19171,2804
2021-11-30,19173,990
2021-11-30,19175,1925
2021-11-30,19177,933
2021-11-30,19179,6458
2021-11-30,19181,8482
2021-11-30,19183,3915
2021-11-30,19185,845
2021-11-30,19187,7331
2021-11-30,19189,2171
2021-11-30,19191,2601
2021-11-30,19193,20529
2021-11-30,19195,1218
2021-11-30,19197,2666
2021-11-30,20001,2148
2021-11-30,20003,1192
2021-11-30,20005,2569
2021-11-30,20007,611
2021-11-30,20009,4335
2021-11-30,20011,2637
2021-11-30,20013,1828
2021-11-30,20015,11730
2021-11-30,20017,410
2021-11-30,20019,554
2021-11-30,20021,3816
2021-11-30,20023,477
2021-11-30,20025,354
2021-11-30,20027,1349
2021-11-30,20029,1620
2021-11-30,20031,1362
2021-11-30,20033,331
2021-11-30,20035,6255
2021-11-30,20037,7086
2021-11-30,20039,434
2021-11-30,20041,3147
2021-11-30,20043,1522
2021-11-30,20045,13160
2021-11-30,20047,444
2021-11-30,20049,349
2021-11-30,20051,4858
2021-11-30,20053,1474
2021-11-30,20055,8113
2021-11-30,20057,7422
2021-11-30,20059,4062
2021-11-30,20061,5022
2021-11-30,20063,553
2021-11-30,20065,340
2021-11-30,20067,1445
2021-11-30,20069,942
2021-11-30,20071,189
2021-11-30,20073,1055
2021-11-30,20075,321
2021-11-30,20077,1052
2021-11-30,20079,5547
2021-11-30,20081,636
2021-11-30,20083,257
2021-11-30,20085,2331
2021-11-30,20087,2788
2021-11-30,20089,563
2021-11-30,20091,82542
2021-11-30,20093,878
2021-11-30,20095,1298
2021-11-30,20097,420
2021-11-30,20099,3943
2021-11-30,20101,198
2021-11-30,20103,11139
2021-11-30,20105,398
2021-11-30,20107,1680
2021-11-30,20109,525
2021-11-30,20111,5837
2021-11-30,20115,1897
2021-11-30,20117,1728
2021-11-30,20113,5002
2021-11-30,20119,749
2021-11-30,20121,4648
2021-11-30,20123,879
2021-11-30,20125,5589
2021-11-30,20127,833
2021-11-30,20129,450
2021-11-30,20131,2189
2021-11-30,20133,2952
2021-11-30,20135,537
2021-11-30,20137,1579
2021-11-30,20139,2217
2021-11-30,20141,498
2021-11-30,20143,837
2021-11-30,20145,1568
2021-11-30,20147,983
2021-11-30,20149,3155
2021-11-30,20151,1368
2021-11-30,20153,533
2021-11-30,20155,12522
2021-11-30,20157,942
2021-11-30,20159,1572
2021-11-30,20161,8428
2021-11-30,20163,861
2021-11-30,20165,556
2021-11-30,20167,1319
2021-11-30,20169,9143
2021-11-30,20171,884
2021-11-30,20173,86516
2021-11-30,20175,5061
2021-11-30,20177,27318
2021-11-30,20179,562
2021-11-30,20181,1079
2021-11-30,20183,473
2021-11-30,20185,737
2021-11-30,20187,316
2021-11-30,20189,989
2021-11-30,20191,3503
2021-11-30,20193,1657
2021-11-30,20195,521
2021-11-30,20197,986
2021-11-30,20199,313
2021-11-30,20201,901
2021-11-30,20203,313
2021-11-30,20205,1656
2021-11-30,20207,445
2021-11-30,20209,29028
2021-11-30,21001,3656
2021-11-30,21003,3961
2021-11-30,21005,3772
2021-11-30,21007,744
2021-11-30,21009,8537
2021-11-30,21011,1779
2021-11-30,21013,5950
2021-11-30,21015,22759
2021-11-30,21017,3501
2021-11-30,21019,9011
2021-11-30,21021,5641
2021-11-30,21023,1284
2021-11-30,21025,2117
2021-11-30,21027,3110
2021-11-30,21029,12760
2021-11-30,21031,2488
2021-11-30,21033,2526
2021-11-30,21035,5330
2021-11-30,21037,14001
2021-11-30,21039,680
2021-11-30,21041,2093
2021-11-30,21043,4860
2021-11-30,21045,2921
2021-11-30,21047,10628
2021-11-30,21049,5598
2021-11-30,21051,5184
2021-11-30,21053,2393
2021-11-30,21055,1342
2021-11-30,21057,1362
2021-11-30,21059,18257
2021-11-30,21061,1616
2021-11-30,21063,1399
2021-11-30,21065,2422
2021-11-30,21067,53749
2021-11-30,21069,2304
2021-11-30,21071,7531
2021-11-30,21073,7578
2021-11-30,21075,834
2021-11-30,21077,1339
2021-11-30,21079,2959
2021-11-30,21081,4856
2021-11-30,21083,7487
2021-11-30,21085,5043
2021-11-30,21087,2562
2021-11-30,21089,6890
2021-11-30,21091,1479
2021-11-30,21093,19104
2021-11-30,21095,5798
2021-11-30,21097,3632
2021-11-30,21099,3723
2021-11-30,21101,8298
2021-11-30,21103,2816
2021-11-30,21105,586
2021-11-30,21107,8956
2021-11-30,21109,2842
2021-11-30,21111,126179
2021-11-30,21113,8626
2021-11-30,21115,3930
2021-11-30,21117,26750
2021-11-30,21119,2527
2021-11-30,21121,7406
2021-11-30,21123,2485
2021-11-30,21125,13198
2021-11-30,21127,2858
2021-11-30,21129,1801
2021-11-30,21131,2302
2021-11-30,21133,4142
2021-11-30,21135,2714
2021-11-30,21137,4495
2021-11-30,21139,1488
2021-11-30,21141,5247
2021-11-30,21143,2012
2021-11-30,21151,16903
2021-11-30,21153,2441
2021-11-30,21155,4157
2021-11-30,21157,5199
2021-11-30,21159,2042
2021-11-30,21161,2741
2021-11-30,21145,10639
2021-11-30,21147,3929
2021-11-30,21149,1576
2021-11-30,21163,3582
2021-11-30,21165,895
2021-11-30,21167,4687
2021-11-30,21169,2013
2021-11-30,21171,2442
2021-11-30,21173,4758
2021-11-30,21175,3004
2021-11-30,21177,5915
2021-11-30,21179,8804
2021-11-30,21181,1266
2021-11-30,21183,4606
2021-11-30,21185,10697
2021-11-30,21187,1472
2021-11-30,21189,1034
2021-11-30,21191,2170
