Date,fips,vaccine
11-30-2021,45013,119521
11-30-2021,53001,10653
11-30-2021,51075,14814
11-30-2021,29225,15787
11-30-2021,31111,10388
11-30-2021,18051,14721
11-30-2021,20131,5068
11-30-2021,31175,1270
11-30-2021,8119,12805
11-30-2021,48107,2374
11-30-2021,28051,9070
11-30-2021,35011,826
11-30-2021,8029,13815
11-30-2021,51193,7889
11-30-2021,1025,11156
11-30-2021,13033,9711
11-30-2021,40107,5157
11-30-2021,49049,305263
11-30-2021,28131,7655
11-30-2021,42033,35831
11-30-2021,18011,43967
11-30-2021,42125,112552
11-30-2021,37101,98663
11-30-2021,27087,3038
11-30-2021,41051,589163
11-30-2021,37025,108672
11-30-2021,20039,1070
11-30-2021,31011,2408
11-30-2021,28033,89638
11-30-2021,8077,70276
11-30-2021,39031,13160
11-30-2021,27115,13314
11-30-2021,35031,52895
11-30-2021,51007,4425
11-30-2021,19079,8604
11-30-2021,12015,115931
11-30-2021,18059,49002
11-30-2021,51083,13917
11-30-2021,37197,17276
11-30-2021,5037,7875
11-30-2021,42075,68478
11-30-2021,31065,1892
11-30-2021,48113,1439463
11-30-2021,28093,17242
11-30-2021,42037,36087
11-30-2021,47075,8238
11-30-2021,6083,283320
11-30-2021,22109,45784
11-30-2021,24019,17185
11-30-2021,21209,28846
11-30-2021,28035,28536
11-30-2021,37001,89831
11-30-2021,34017,460113
11-30-2021,51049,3451
11-30-2021,55113,9098
11-30-2021,17175,2623
11-30-2021,5003,9079
11-30-2021,29045,1924
11-30-2021,51595,1747
11-30-2021,36091,166510
11-30-2021,28111,4079
11-30-2021,21133,10726
11-30-2021,13261,11857
11-30-2021,5095,3422
11-30-2021,12023,28132
11-30-2021,38017,95416
11-30-2021,2110,21583
11-30-2021,1043,29888
11-30-2021,28097,5047
11-30-2021,47189,70463
11-30-2021,51063,5787
11-30-2021,47147,34485
11-30-2021,21171,4552
11-30-2021,29107,13895
11-30-2021,55059,91439
11-30-2021,47093,261042
11-30-2021,55019,11990
11-30-2021,48157,521799
11-30-2021,19043,7944
11-30-2021,28157,5116
11-30-2021,53059,4330
11-30-2021,22091,2864
11-30-2021,9007,125567
11-30-2021,18165,6797
